               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059296,            0.022021,            0.043613,             0.54455,             0.45042,             0.41921,             0.26125,            0.036698,           0.0070831,            0.028794,            0.070167,           0.0033148,           0.0033148
                   1,            0.039766,            0.014226,            0.025504,             0.63471,             0.70502,             0.74244,             0.43754,            0.037172,           0.0063968,            0.011594,            0.040145,           0.0066262,           0.0066262
                   2,            0.036628,            0.013136,            0.018847,             0.51687,             0.50125,             0.49169,             0.29193,            0.035383,           0.0087811,            0.029681,            0.010101,           0.0099156,           0.0099156
                   3,            0.034966,            0.013828,            0.019857,             0.65863,              0.6989,             0.73306,             0.45989,             0.03273,           0.0086505,            0.017157,            0.009901,            0.009901,            0.009901
                   4,            0.032656,            0.013191,            0.017848,             0.62951,             0.47248,              0.5214,             0.31674,            0.037322,           0.0095239,            0.028419,            0.009901,            0.009901,            0.009901
                   5,            0.030843,            0.012831,            0.015792,             0.76828,              0.6754,             0.76453,             0.51283,            0.028446,           0.0070474,            0.015021,            0.009868,            0.009868,            0.009868
                   6,            0.029184,            0.012279,            0.014678,             0.85933,               0.801,             0.87136,             0.59396,            0.024699,           0.0060082,           0.0069475,            0.009835,            0.009835,            0.009835
                   7,            0.028175,            0.011956,             0.01346,             0.85824,             0.78523,             0.88441,             0.60517,            0.025955,            0.006403,           0.0072872,            0.009802,            0.009802,            0.009802
                   8,            0.027129,            0.011707,            0.012207,             0.88144,             0.87966,             0.92785,             0.66633,            0.023524,           0.0054357,           0.0060085,            0.009769,            0.009769,            0.009769
                   9,            0.026447,            0.011546,            0.011627,              0.8678,             0.85527,             0.91909,             0.65473,            0.022588,           0.0055794,           0.0047158,            0.009736,            0.009736,            0.009736
                  10,            0.025988,            0.011253,            0.011338,             0.91353,             0.89032,             0.94985,             0.68428,            0.022604,           0.0053109,           0.0037032,            0.009703,            0.009703,            0.009703
                  11,            0.025346,            0.011068,            0.010409,             0.83063,             0.76265,             0.84802,             0.59281,            0.024152,           0.0073058,           0.0082459,             0.00967,             0.00967,             0.00967
                  12,            0.024857,            0.010763,           0.0099059,             0.88427,             0.88137,             0.93885,             0.68786,            0.021202,           0.0052191,           0.0054203,            0.009637,            0.009637,            0.009637
                  13,            0.024661,            0.010646,           0.0097393,             0.93067,             0.88322,             0.95743,             0.70753,            0.020917,           0.0050063,           0.0031489,            0.009604,            0.009604,            0.009604
                  14,             0.02388,            0.010595,           0.0086517,             0.93021,             0.92943,             0.97607,             0.73459,            0.019479,           0.0047584,           0.0024717,            0.009571,            0.009571,            0.009571
                  15,            0.023492,            0.010346,           0.0086556,             0.90411,             0.92896,             0.96364,             0.72424,            0.020018,           0.0049447,           0.0030946,            0.009538,            0.009538,            0.009538
                  16,            0.023262,            0.010417,           0.0080862,             0.92771,             0.91743,             0.96964,             0.73586,            0.019503,            0.004841,           0.0040674,            0.009505,            0.009505,            0.009505
                  17,            0.023068,              0.0103,            0.008357,             0.93733,             0.94816,             0.98064,             0.75194,             0.01907,            0.004804,           0.0019038,            0.009472,            0.009472,            0.009472
                  18,            0.022914,            0.010284,           0.0082135,             0.93926,             0.91601,             0.96869,             0.73683,            0.019767,           0.0049316,           0.0024712,            0.009439,            0.009439,            0.009439
                  19,            0.022381,            0.010089,           0.0079162,             0.94851,             0.94605,             0.98469,             0.76287,            0.018632,           0.0046615,            0.001577,            0.009406,            0.009406,            0.009406
                  20,            0.022426,           0.0099461,           0.0078128,             0.95646,             0.95832,             0.98386,             0.77019,            0.018405,           0.0044065,           0.0013205,            0.009373,            0.009373,            0.009373
                  21,            0.022232,            0.009919,           0.0074633,              0.9571,             0.96516,              0.9882,             0.78132,              0.0182,           0.0043459,           0.0013719,             0.00934,             0.00934,             0.00934
                  22,            0.021794,           0.0097237,           0.0074208,             0.95227,             0.95482,             0.98003,             0.77021,            0.018116,           0.0044825,           0.0017784,            0.009307,            0.009307,            0.009307
                  23,            0.021719,           0.0096935,           0.0073182,              0.9523,              0.9613,             0.98805,             0.78713,             0.01687,           0.0043105,            0.001225,            0.009274,            0.009274,            0.009274
                  24,            0.021398,           0.0095593,           0.0066269,             0.94733,              0.9635,             0.98501,             0.77763,            0.017474,           0.0044981,           0.0023131,            0.009241,            0.009241,            0.009241
                  25,            0.021207,           0.0095877,           0.0065856,             0.97703,             0.96602,             0.98968,             0.79961,             0.01645,            0.004205,          0.00084695,            0.009208,            0.009208,            0.009208
                  26,            0.020629,           0.0094055,           0.0064447,             0.97612,             0.98307,             0.99308,             0.81177,            0.016234,            0.004035,          0.00066112,            0.009175,            0.009175,            0.009175
                  27,             0.02027,           0.0092821,           0.0060816,             0.96843,             0.95879,             0.98928,             0.80045,            0.017555,           0.0042974,           0.0016452,            0.009142,            0.009142,            0.009142
                  28,            0.020504,           0.0093704,           0.0065215,             0.97598,             0.98029,             0.99235,             0.81399,             0.01613,           0.0039818,          0.00093015,            0.009109,            0.009109,            0.009109
                  29,            0.020172,           0.0092113,           0.0058865,             0.97884,             0.98298,             0.99178,             0.81608,            0.016077,            0.003913,          0.00084157,            0.009076,            0.009076,            0.009076
                  30,            0.020111,           0.0092033,           0.0061462,             0.97172,             0.97815,             0.99223,             0.81228,            0.016646,           0.0040212,          0.00078419,            0.009043,            0.009043,            0.009043
